TF (regulator),Gene (target)
JUNB,DIP2A
BBX,DIP2A
HOPX,DIP2A
ID2,DIP2A
ZNF155,DIP2A
CEBPD,DIP2A
SATB2,DIP2A
LYAR,DIP2A
KLF6,DIP2A
ZNF562,DIP2A
ZNF683,DIP2A
ZNF684,DIP2A
ZNF710,DIP2A
ZNF737,DIP2A
RUNX3,DIRC3
JUN,DIRC3
JUNB,DIRC3
BBX,DIRC3
ID2,DIRC3
CEBPD,DIRC3
LEF1,DIRC3
LYAR,DIRC3
FOS,DIRC3
ASCL2,DIRC3
FOSB,DIRC3
KLF6,DIRC3
PLEK,DIRC3
ZNF683,DIRC3
HOPX,DIRC3
PURA,DLG3
JUN,DLG3
SNAI3,DLG3
JUNB,DLG3
MLXIP,DLG3
SOX13,DLG3
ARID5B,DLG3
CEBPD,DLG3
LYAR,DLG3
FOS,DLG3
DNAJC1,DLG3
KLF6,DLG3
IRF6,DLG3
ZNF683,DLG3
HOPX,DLG3
BATF,DLGAP1
JUN,DLGAP1
JUNB,DLGAP1
ID2,DLGAP1
MLXIP,DLGAP1
CEBPD,DLGAP1
LEF1,DLGAP1
LYAR,DLGAP1
FOS,DLGAP1
DNAJC1,DLGAP1
FOXN2,DLGAP1
KLF6,DLGAP1
PLEK,DLGAP1
ZNF683,DLGAP1
HOPX,DLGAP1
PURA,DMXL2
JUN,DMXL2
JUNB,DMXL2
ID2,DMXL2
LEF1,DMXL2
LYAR,DMXL2
ZNF277,DMXL2
FOS,DMXL2
ASCL2,DMXL2
KLF6,DMXL2
YEATS4,DMXL2
MYBL1,DMXL2
PLEK,DMXL2
ZNF683,DMXL2
HOPX,DMXL2
BATF,DNA2
RUNX3,DNA2
JUN,DNA2
JUNB,DNA2
ID2,DNA2
MLXIP,DNA2
ARID5B,DNA2
CEBPD,DNA2
LYAR,DNA2
ZNF277,DNA2
FOS,DNA2
DNAJC1,DNA2
KLF6,DNA2
ZNF683,DNA2
HOPX,DNA2
BATF,DNMT3B
JUN,DNMT3B
JUNB,DNMT3B
ID2,DNMT3B
CEBPD,DNMT3B
LEF1,DNMT3B
LYAR,DNMT3B
ZNF277,DNMT3B
FOS,DNMT3B
FOSB,DNMT3B
DNAJC1,DNMT3B
KLF6,DNMT3B
PLEK,DNMT3B
ZNF683,DNMT3B
HOPX,DNMT3B
JUN,DNTT
JUNB,DNTT
BBX,DNTT
ID2,DNTT
MLXIP,DNTT
CEBPD,DNTT
LEF1,DNTT
LYAR,DNTT
ZNF277,DNTT
FOS,DNTT
DNAJC1,DNTT
KLF6,DNTT
PLEK,DNTT
ZNF683,DNTT
HOPX,DNTT
RUNX3,DRD3
JUN,DRD3
ZNF805,DRD3
JUNB,DRD3
E2F5,DRD3
ID2,DRD3
CEBPD,DRD3
LYAR,DRD3
FOS,DRD3
ASCL2,DRD3
DNAJC1,DRD3
KLF6,DRD3
MYBL1,DRD3
ZNF683,DRD3
HOPX,DRD3
JUN,DST
JUNB,DST
ID2,DST
ZNF142,DST
ARID5B,DST
LEF1,DST
LYAR,DST
ZNF277,DST
FOS,DST
FOSB,DST
FOXN2,DST
KLF6,DST
PLEK,DST
ZNF683,DST
HOPX,DST
PURA,DTX2
BAZ2A,DTX2
JUN,DTX2
JUNB,DTX2
RUNX3,DTX2
BBX,DTX2
ID2,DTX2
MLXIP,DTX2
ZNF143,DTX2
LYAR,DTX2
THAP6,DTX2
DNAJC1,DTX2
KLF6,DTX2
ZNF683,DTX2
MYSM1,DTX2
BATF,DTX3L
JUN,DTX3L
JUNB,DTX3L
ID2,DTX3L
CEBPD,DTX3L
LYAR,DTX3L
FOS,DTX3L
FOSB,DTX3L
KLF6,DTX3L
PKNOX1,DTX3L
YEATS4,DTX3L
PLEK,DTX3L
ZNF683,DTX3L
MYSM1,DTX3L
HOPX,DTX3L
BATF,DUS4L
JUN,DUS4L
JUNB,DUS4L
PLEK,DUS4L
ID2,DUS4L
CEBPD,DUS4L
LEF1,DUS4L
LYAR,DUS4L
DNAJC1,DUS4L
FOXN2,DUS4L
MTA1,DUS4L
YEATS4,DUS4L
ZNF618,DUS4L
GABPA,DUS4L
HOPX,DUS4L
ZNF618,DUSP1
JUN,DUSP1
JUNB,DUSP1
ID2,DUSP1
CEBPD,DUSP1
LEF1,DUSP1
LYAR,DUSP1
FOS,DUSP1
FOSB,DUSP1
DNAJC1,DUSP1
KLF6,DUSP1
GRHL1,DUSP1
MYBL1,DUSP1
ZBTB34,DUSP1
HOPX,DUSP1
PURA,DUSP12
JUN,DUSP12
JUNB,DUSP12
ZSCAN2,DUSP12
BBX,DUSP12
ID2,DUSP12
ID3,DUSP12
LYAR,DUSP12
THAP6,DUSP12
MAFG,DUSP12
WDHD1,DUSP12
FOS,DUSP12
ZNF547,DUSP12
ZNF683,DUSP12
ZBTB34,DUSP12
JUN,DUSP18
JUNB,DUSP18
ID2,DUSP18
CEBPD,DUSP18
ZNF234,DUSP18
LYAR,DUSP18
ZNF277,DUSP18
FOS,DUSP18
DNAJC1,DUSP18
ZNF41,DUSP18
HIVEP3,DUSP18
PKNOX1,DUSP18
PLEK,DUSP18
ZNF683,DUSP18
ZNF684,DUSP18
JUN,DUSP2
JUNB,DUSP2
ID2,DUSP2
ARID5B,DUSP2
CEBPD,DUSP2
LEF1,DUSP2
LYAR,DUSP2
THAP6,DUSP2
FOS,DUSP2
FOSB,DUSP2
MYBL1,DUSP2
PLEK,DUSP2
ZNF683,DUSP2
HMGB3,DUSP2
HOPX,DUSP2
HOXA9,DUSP5
JUN,DUSP5
JUNB,DUSP5
BBX,DUSP5
ID2,DUSP5
LEF1,DUSP5
LYAR,DUSP5
FOS,DUSP5
DNAJC1,DUSP5
ZNF470,DUSP5
HIVEP3,DUSP5
MYBL1,DUSP5
PLEK,DUSP5
ZNF684,DUSP5
HOPX,DUSP5
JUN,DYM
ZNF805,DYM
JUNB,DYM
POU5F2,DYM
ID2,DYM
ARID2,DYM
ZNF143,DYM
TCF12,DYM
CEBPD,DYM
ARNT,DYM
LYAR,DYM
KLF6,DYM
YEATS4,DYM
MYSM1,DYM
HOPX,DYM
HOXA10,DYNLT1
BAZ2A,DYNLT1
JUN,DYNLT1
JUNB,DYNLT1
ZNF155,DYNLT1
CEBPD,DYNLT1
TCF12,DYNLT1
FOS,DYNLT1
FOSB,DYNLT1
DNAJC1,DYNLT1
ATF6,DYNLT1
KLF6,DYNLT1
PLEK,DYNLT1
ZNF683,DYNLT1
HOPX,DYNLT1
BATF,DYRK3
RUNX3,DYRK3
JUN,DYRK3
JUNB,DYRK3
E2F5,DYRK3
ID2,DYRK3
ARID5B,DYRK3
LYAR,DYRK3
FOS,DYRK3
ASCL2,DYRK3
DNAJC1,DYRK3
KLF6,DYRK3
PLEK,DYRK3
ZNF683,DYRK3
HOPX,DYRK3
BATF,EBLN2
PURA,EBLN2
JUN,EBLN2
JUNB,EBLN2
ID2,EBLN2
ARID2,EBLN2
ARID5B,EBLN2
ARNT,EBLN2
LYAR,EBLN2
MAFG,EBLN2
ASCL2,EBLN2
KLF6,EBLN2
PKNOX1,EBLN2
YEATS4,EBLN2
HOPX,EBLN2
JUN,ECHDC1
POU5F2,ECHDC1
ZSCAN2,ECHDC1
ID2,ECHDC1
CASZ1,ECHDC1
TCF12,ECHDC1
CEBPD,ECHDC1
LYAR,ECHDC1
THAP6,ECHDC1
KLF6,ECHDC1
PKNOX1,ECHDC1
ZNF576,ECHDC1
PLEK,ECHDC1
ZNF683,ECHDC1
HOPX,ECHDC1
BATF,EED
BAZ2A,EED
RUNX3,EED
JUNB,EED
JUN,EED
MLXIP,EED
LEF1,EED
ARNT,EED
ZNF277,EED
FOS,EED
ASCL2,EED
ZBTB38,EED
PLEK,EED
ZNF683,EED
HOPX,EED
JUN,EFCAB7
JUNB,EFCAB7
ID2,EFCAB7
ARID5B,EFCAB7
CEBPD,EFCAB7
LEF1,EFCAB7
LYAR,EFCAB7
ZNF277,EFCAB7
THAP6,EFCAB7
FOS,EFCAB7
DNAJC1,EFCAB7
HIVEP3,EFCAB7
KLF6,EFCAB7
MYBL1,EFCAB7
HOPX,EFCAB7
JUN,EFNB2
JUNB,EFNB2
HOPX,EFNB2
ID2,EFNB2
ZNF143,EFNB2
ARID5B,EFNB2
LYAR,EFNB2
FOS,EFNB2
ASCL2,EFNB2
FOSB,EFNB2
FOXN2,EFNB2
DNAJC1,EFNB2
KLF6,EFNB2
ZNF683,EFNB2
ZNF710,EFNB2
BATF,EIF2AK1
JUN,EIF2AK1
JUNB,EIF2AK1
BBX,EIF2AK1
ID2,EIF2AK1
ZSCAN31,EIF2AK1
SOX13,EIF2AK1
SATB2,EIF2AK1
CEBPD,EIF2AK1
LYAR,EIF2AK1
THAP6,EIF2AK1
ASCL2,EIF2AK1
DNAJC1,EIF2AK1
KLF6,EIF2AK1
ZBTB38,EIF2AK1
BATF,ELAVL4
JUN,ELAVL4
SNAI3,ELAVL4
JUNB,ELAVL4
BBX,ELAVL4
ID2,ELAVL4
CEBPD,ELAVL4
LEF1,ELAVL4
LYAR,ELAVL4
FOS,ELAVL4
DNAJC1,ELAVL4
KLF6,ELAVL4
PLEK,ELAVL4
ZNF683,ELAVL4
HOPX,ELAVL4
PURA,ELMO2
RUNX3,ELMO2
JUN,ELMO2
SNAI3,ELMO2
JUNB,ELMO2
ZSCAN2,ELMO2
ID2,ELMO2
ZSCAN29,ELMO2
CEBPD,ELMO2
FOS,ELMO2
HIVEP3,ELMO2
KLF6,ELMO2
MYBL1,ELMO2
PLEK,ELMO2
HOPX,ELMO2
JUNB,EMC8
ID3,EMC8
ZNF143,EMC8
ARID5B,EMC8
ZNF142,EMC8
ZNF264,EMC8
LYAR,EMC8
FOS,EMC8
DNAJC1,EMC8
KLF6,EMC8
ZNF562,EMC8
PLEK,EMC8
GABPA,EMC8
ZBTB34,EMC8
HOPX,EMC8
BAZ2A,ENHO
SNAI3,ENHO
ID2,ENHO
ZNF264,ENHO
LYAR,ENHO
FOS,ENHO
DNAJC1,ENHO
ZNF41,ENHO
ZBTB38,ENHO
IRF6,ENHO
ZNF576,ENHO
MYBL1,ENHO
PLEK,ENHO
MYSM1,ENHO
HOPX,ENHO
ZNF773,EPB41L2
JUN,EPB41L2
JUNB,EPB41L2
ZFHX3,EPB41L2
ID2,EPB41L2
CEBPD,EPB41L2
LEF1,EPB41L2
AHCTF1,EPB41L2
LYAR,EPB41L2
MAFB,EPB41L2
FOS,EPB41L2
FOSB,EPB41L2
DNAJC1,EPB41L2
ZNF683,EPB41L2
HOPX,EPB41L2
JUN,EPHB6
JUNB,EPHB6
BBX,EPHB6
ID2,EPHB6
ARID2,EPHB6
ARID5B,EPHB6
LEF1,EPHB6
ZNF264,EPHB6
LYAR,EPHB6
FOS,EPHB6
FOSB,EPHB6
ZBTB38,EPHB6
KLF6,EPHB6
YEATS4,EPHB6
HOPX,EPHB6
BAZ2A,ERBB2
JUN,ERBB2
BBX,ERBB2
ID2,ERBB2
ID3,ERBB2
CEBPD,ERBB2
LYAR,ERBB2
ASCL2,ERBB2
FOSB,ERBB2
ZNF470,ERBB2
DNAJC1,ERBB2
PLEK,ERBB2
ZNF683,ERBB2
HOPX,ERBB2
ZNF737,ERBB2
PURA,ERCC6
BATF,ERCC6
JUN,ERCC6
SNAI3,ERCC6
JUNB,ERCC6
BBX,ERCC6
ARID5B,ERCC6
CEBPD,ERCC6
LEF1,ERCC6
ZNF264,ERCC6
LYAR,ERCC6
FOS,ERCC6
MTA1,ERCC6
KLF6,ERCC6
ZNF683,ERCC6
PURA,ERGIC1
JUN,ERGIC1
JUNB,ERGIC1
BBX,ERGIC1
LYAR,ERGIC1
MAFG,ERGIC1
DNAJC1,ERGIC1
FOS,ERGIC1
HIVEP3,ERGIC1
ATF6,ERGIC1
ZBTB38,ERGIC1
YEATS4,ERGIC1
ZNF683,ERGIC1
ZNF684,ERGIC1
HOPX,ERGIC1
JUN,ERGIC2
SNAI3,ERGIC2
POU5F2,ERGIC2
ZFHX3,ERGIC2
JUNB,ERGIC2
CEBPD,ERGIC2
LEF1,ERGIC2
LYAR,ERGIC2
THAP6,ERGIC2
GABPA,ERGIC2
HIVEP3,ERGIC2
KLF6,ERGIC2
ZNF547,ERGIC2
MYBL1,ERGIC2
PLEK,ERGIC2
RUNX3,ERRFI1
JUN,ERRFI1
JUNB,ERRFI1
ZSCAN2,ERRFI1
BBX,ERRFI1
ARID5B,ERRFI1
CEBPD,ERRFI1
LEF1,ERRFI1
LYAR,ERRFI1
ZNF277,ERRFI1
FOS,ERRFI1
FOXK1,ERRFI1
KLF6,ERRFI1
PLEK,ERRFI1
HOPX,ERRFI1
BATF,ESCO2
JUN,ESCO2
SNAI3,ESCO2
JUNB,ESCO2
BBX,ESCO2
ID2,ESCO2
LYAR,ESCO2
FOS,ESCO2
DNAJC1,ESCO2
MTA1,ESCO2
KLF6,ESCO2
YEATS4,ESCO2
PLEK,ESCO2
HMGB3,ESCO2
HOPX,ESCO2
PURA,ESYT2
GFI1B,ESYT2
JUN,ESYT2
JUNB,ESYT2
ZNF80,ESYT2
ID2,ESYT2
LEF1,ESYT2
LYAR,ESYT2
FOS,ESYT2
DNAJC1,ESYT2
ATF6,ESYT2
KLF6,ESYT2
MYBL1,ESYT2
ZNF684,ESYT2
HOPX,ESYT2
BATF,EVA1A
RUNX3,EVA1A
JUN,EVA1A
JUNB,EVA1A
BBX,EVA1A
ID2,EVA1A
LEF1,EVA1A
LYAR,EVA1A
ZNF277,EVA1A
FOS,EVA1A
DNAJC1,EVA1A
FOXN2,EVA1A
KLF6,EVA1A
PLEK,EVA1A
HOPX,EVA1A
BAZ2A,EVI5
JUN,EVI5
JUNB,EVI5
MLXIP,EVI5
TBX6,EVI5
ZNF143,EVI5
LEF1,EVI5
LYAR,EVI5
ZNF277,EVI5
FOS,EVI5
ASCL2,EVI5
FOSB,EVI5
FOXN2,EVI5
ZNF683,EVI5
ZBTB38,EVI5
BATF,EXOC6B
JUN,EXOC6B
JUNB,EXOC6B
ID2,EXOC6B
ID3,EXOC6B
ARID5B,EXOC6B
ZNF155,EXOC6B
ZNF234,EXOC6B
LYAR,EXOC6B
ZNF277,EXOC6B
FOS,EXOC6B
ASCL2,EXOC6B
KLF6,EXOC6B
PLEK,EXOC6B
ZNF683,EXOC6B
RUNX3,EXOG
JUN,EXOG
JUNB,EXOG
ARID2,EXOG
CEBPD,EXOG
AHCTF1,EXOG
LYAR,EXOG
FOS,EXOG
ASCL2,EXOG
FOXK1,EXOG
DNAJC1,EXOG
KLF6,EXOG
ZNF562,EXOG
ZNF684,EXOG
HOPX,EXOG
BATF,FAM110B
JUN,FAM110B
JUNB,FAM110B
ID2,FAM110B
ID3,FAM110B
ARID2,FAM110B
CEBPD,FAM110B
LEF1,FAM110B
LYAR,FAM110B
FOS,FAM110B
DNAJC1,FAM110B
ZBTB38,FAM110B
KLF6,FAM110B
ZNF683,FAM110B
HOPX,FAM110B
JUN,FAM133A
JUNB,FAM133A
ID2,FAM133A
ARID5B,FAM133A
CEBPD,FAM133A
LEF1,FAM133A
LYAR,FAM133A
FOS,FAM133A
FOSB,FAM133A
DNAJC1,FAM133A
MTA1,FAM133A
KLF6,FAM133A
YEATS4,FAM133A
ZNF683,FAM133A
HOPX,FAM133A
ZNF773,FAM135A
JUN,FAM135A
JUNB,FAM135A
BBX,FAM135A
ARID5B,FAM135A
LYAR,FAM135A
ZNF277,FAM135A
FOS,FAM135A
DNAJC1,FAM135A
MTA1,FAM135A
KLF6,FAM135A
YEATS4,FAM135A
PLEK,FAM135A
MYSM1,FAM135A
HOPX,FAM135A
HOXA10,FAM161A
BAZ2A,FAM161A
JUN,FAM161A
SNAI3,FAM161A
JUNB,FAM161A
HOPX,FAM161A
ID2,FAM161A
LYAR,FAM161A
FOS,FAM161A
ASCL2,FAM161A
FOSB,FAM161A
MTA1,FAM161A
YEATS4,FAM161A
ZNF684,FAM161A
ZNF710,FAM161A
BAZ2A,FAM181B
JUN,FAM181B
JUNB,FAM181B
BBX,FAM181B
ID2,FAM181B
ID3,FAM181B
CEBPD,FAM181B
LEF1,FAM181B
LYAR,FAM181B
FOS,FAM181B
DNAJC1,FAM181B
KLF6,FAM181B
PLEK,FAM181B
ZNF683,FAM181B
HOPX,FAM181B
PURA,FAM192A
ZNF80,FAM192A
ZNF805,FAM192A
JUNB,FAM192A
JUN,FAM192A
SOX13,FAM192A
ZNF155,FAM192A
SATB2,FAM192A
LYAR,FAM192A
THAP6,FAM192A
FOS,FAM192A
ASCL2,FAM192A
FOSB,FAM192A
PLEK,FAM192A
ZNF683,FAM192A
BAZ2A,FAM20B
RUNX3,FAM20B
SNAI3,FAM20B
POU5F2,FAM20B
JUNB,FAM20B
JUN,FAM20B
BBX,FAM20B
CEBPD,FAM20B
ARNT,FAM20B
LYAR,FAM20B
ASCL2,FAM20B
DNAJC1,FAM20B
ATF6,FAM20B
MYBL1,FAM20B
PLEK,FAM20B
JUN,FAM20C
ZNF805,FAM20C
JUNB,FAM20C
ID2,FAM20C
SOX13,FAM20C
ARID2,FAM20C
ARID5B,FAM20C
CEBPD,FAM20C
LEF1,FAM20C
LYAR,FAM20C
FOS,FAM20C
FOSB,FAM20C
DNAJC1,FAM20C
KLF6,FAM20C
HOPX,FAM20C
PURA,FAM214B
JUN,FAM214B
SNAI3,FAM214B
JUNB,FAM214B
MLXIP,FAM214B
ARID5B,FAM214B
ZNF155,FAM214B
LYAR,FAM214B
FOSB,FAM214B
MTA1,FAM214B
ZBTB38,FAM214B
KLF6,FAM214B
ZNF710,FAM214B
MYBL1,FAM214B
HOPX,FAM214B
PURA,FAM57A
JUN,FAM57A
JUNB,FAM57A
ID2,FAM57A
LEF1,FAM57A
AHCTF1,FAM57A
LYAR,FAM57A
ZNF277,FAM57A
FOS,FAM57A
ASCL2,FAM57A
FOSB,FAM57A
DNAJC1,FAM57A
KLF6,FAM57A
MYBL1,FAM57A
HOPX,FAM57A
JUN,FARP1
JUNB,FARP1
BBX,FARP1
ID2,FARP1
ARID5B,FARP1
LEF1,FARP1
LYAR,FARP1
FOS,FARP1
ASCL2,FARP1
FOSB,FARP1
KLF6,FARP1
PLEK,FARP1
GABPA,FARP1
ZNF683,FARP1
HOPX,FARP1
JUN,FBXO30
SNAI3,FBXO30
JUNB,FBXO30
ID2,FBXO30
ID3,FBXO30
ARID5B,FBXO30
CEBPD,FBXO30
LEF1,FBXO30
LYAR,FBXO30
FOS,FBXO30
FOSB,FBXO30
DNAJC1,FBXO30
KLF6,FBXO30
ZNF576,FBXO30
HOPX,FBXO30
DACH1,FCER1G
BAZ2A,FCER1G
JUN,FCER1G
JUNB,FCER1G
ZSCAN2,FCER1G
HOPX,FCER1G
ID2,FCER1G
CEBPD,FCER1G
AHCTF1,FCER1G
MAFB,FCER1G
FOSB,FCER1G
ZNF532,FCER1G
ZNF683,FCER1G
HMGB3,FCER1G
ZNF710,FCER1G
E2F5,FCGR3A
JUN,FCGR3A
JUNB,FCGR3A
ZFHX3,FCGR3A
ID2,FCGR3A
LYAR,FCGR3A
MAFB,FCGR3A
WDHD1,FCGR3A
ASCL2,FCGR3A
FOS,FCGR3A
ZNF470,FCGR3A
PLEK,FCGR3A
ZNF683,FCGR3A
MYSM1,FCGR3A
HOPX,FCGR3A
BATF,FCRL6
PURA,FCRL6
BBX,FCRL6
JUNB,FCRL6
EPAS1,FCRL6
LYAR,FCRL6
THAP6,FCRL6
FOS,FCRL6
ASCL2,FCRL6
DNAJC1,FCRL6
ZBTB38,FCRL6
KLF6,FCRL6
PLEK,FCRL6
ZNF683,FCRL6
HOPX,FCRL6
BATF,FGF14-AS2
JUN,FGF14-AS2
POU5F2,FGF14-AS2
ID2,FGF14-AS2
ID3,FGF14-AS2
ARID2,FGF14-AS2
ARID5B,FGF14-AS2
LEF1,FGF14-AS2
LYAR,FGF14-AS2
FOS,FGF14-AS2
FOXK1,FGF14-AS2
KLF6,FGF14-AS2
MYSM1,FGF14-AS2
ZNF684,FGF14-AS2
HOPX,FGF14-AS2
BATF,FGFBP2
JUN,FGFBP2
JUNB,FGFBP2
POU5F2,FGFBP2
BBX,FGFBP2
ID2,FGFBP2
LYAR,FGFBP2
FOS,FGFBP2
ASCL2,FGFBP2
DNAJC1,FGFBP2
KLF6,FGFBP2
MYBL1,FGFBP2
PLEK,FGFBP2
ZNF683,FGFBP2
HOPX,FGFBP2
PURA,FGR
BAZ2A,FGR
JUN,FGR
JUNB,FGR
ID2,FGR
ID3,FGR
MLXIP,FGR
LYAR,FGR
MAFG,FGR
ASCL2,FGR
FOSB,FGR
MTA1,FGR
FOS,FGR
ZNF683,FGR
HOPX,FGR
BATF,FICD
JUN,FICD
JUNB,FICD
ZSCAN2,FICD
BBX,FICD
ID2,FICD
MLXIP,FICD
CEBPD,FICD
LYAR,FICD
NR4A1,FICD
ASCL2,FICD
DNAJC1,FICD
KLF6,FICD
PLEK,FICD
HOPX,FICD
BATF,FLNA
RUNX3,FLNA
JUN,FLNA
JUNB,FLNA
PURA,FLNA
SOX13,FLNA
ZNF264,FLNA
LYAR,FLNA
FOS,FLNA
ASCL2,FLNA
DNAJC1,FLNA
KLF6,FLNA
PLEK,FLNA
ZNF683,FLNA
HOPX,FLNA
JUN,FLT1
JUNB,FLT1
ID2,FLT1
ID3,FLT1
ARID5B,FLT1
TCF12,FLT1
CEBPD,FLT1
LEF1,FLT1
LYAR,FLT1
FOS,FLT1
DNAJC1,FLT1
KLF6,FLT1
PLEK,FLT1
ZNF683,FLT1
HOPX,FLT1
HOXA10,FOLR2
RUNX3,FOLR2
BATF,FOLR2
JUNB,FOLR2
ZSCAN2,FOLR2
JUN,FOLR2
ID2,FOLR2
CEBPD,FOLR2
LYAR,FOLR2
FOS,FOLR2
DNAJC1,FOLR2
KLF6,FOLR2
PLEK,FOLR2
ZNF683,FOLR2
HOPX,FOLR2
BATF,FPR1
BAZ2A,FPR1
JUN,FPR1
JUNB,FPR1
ZSCAN2,FPR1
ID2,FPR1
ARID2,FPR1
MLXIP,FPR1
CEBPD,FPR1
LYAR,FPR1
MAFB,FPR1
FOS,FPR1
PLEK,FPR1
ZNF684,FPR1
HOPX,FPR1
BATF,FRY-AS1
JUN,FRY-AS1
JUNB,FRY-AS1
ARID5B,FRY-AS1
TCF12,FRY-AS1
LEF1,FRY-AS1
LYAR,FRY-AS1
ZNF277,FRY-AS1
FOS,FRY-AS1
FOSB,FRY-AS1
FOXK1,FRY-AS1
MTA1,FRY-AS1
KLF6,FRY-AS1
ZNF683,FRY-AS1
HOPX,FRY-AS1
JUN,FSD1L
JUNB,FSD1L
ID2,FSD1L
ID3,FSD1L
ARID5B,FSD1L
AHCTF1,FSD1L
LYAR,FSD1L
DNAJC1,FSD1L
HMGB3,FSD1L
FOXN2,FSD1L
ZBTB38,FSD1L
KLF6,FSD1L
ZNF710,FSD1L
ZNF684,FSD1L
HOPX,FSD1L
BAZ2A,FUT11
JUN,FUT11
HOXA9,FUT11
JUNB,FUT11
BBX,FUT11
ID2,FUT11
ARID2,FUT11
HIVEP3,FUT11
KLF6,FUT11
PKNOX1,FUT11
ZNF562,FUT11
ZNF576,FUT11
PLEK,FUT11
ZNF683,FUT11
HOPX,FUT11
JUN,FUT7
JUNB,FUT7
ID2,FUT7
ID3,FUT7
TCF12,FUT7
AHCTF1,FUT7
ARNT,FUT7
LYAR,FUT7
NR4A1,FUT7
FOS,FUT7
ZNF41,FUT7
FOXN2,FUT7
KLF6,FUT7
ZNF683,FUT7
HOPX,FUT7
BAZ2A,FXYD6
JUN,FXYD6
JUNB,FXYD6
ID2,FXYD6
MLXIP,FXYD6
ARID2,FXYD6
TBX6,FXYD6
CEBPD,FXYD6
LEF1,FXYD6
LYAR,FXYD6
ZNF277,FXYD6
FOS,FXYD6
KLF6,FXYD6
PLEK,FXYD6
HOPX,FXYD6
BATF,FZD2
RUNX3,FZD2
JUN,FZD2
JUNB,FZD2
ID2,FZD2
LYAR,FZD2
FOS,FZD2
ASCL2,FZD2
HIVEP3,FZD2
KLF6,FZD2
MYBL1,FZD2
PLEK,FZD2
ZNF683,FZD2
ZNF684,FZD2
HOPX,FZD2
PURA,GALNT6
JUN,GALNT6
ZNF805,GALNT6
BBX,GALNT6
ID2,GALNT6
LYAR,GALNT6
THAP6,GALNT6
NR4A1,GALNT6
FOS,GALNT6
KLF6,GALNT6
ZNF576,GALNT6
MYBL1,GALNT6
PLEK,GALNT6
ZNF683,GALNT6
HOPX,GALNT6
BATF,GALNT7
JUNB,GALNT7
ID2,GALNT7
ARID5B,GALNT7
CEBPD,GALNT7
ARNT,GALNT7
LYAR,GALNT7
ZNF277,GALNT7
FOS,GALNT7
ASCL2,GALNT7
DNAJC1,GALNT7
PKNOX1,GALNT7
ZNF547,GALNT7
PLEK,GALNT7
ZNF683,GALNT7
PURA,GATM
BAZ2A,GATM
JUN,GATM
JUNB,GATM
E2F5,GATM
BBX,GATM
ID2,GATM
MLXIP,GATM
ARID5B,GATM
CEBPD,GATM
LEF1,GATM
MTA1,GATM
ATF6,GATM
PLEK,GATM
ZNF710,GATM
JUN,GCK
SNAI3,GCK
JUNB,GCK
BBX,GCK
ID2,GCK
ID3,GCK
ZNF143,GCK
LEF1,GCK
LYAR,GCK
ZNF277,GCK
FOS,GCK
FOXK1,GCK
KLF6,GCK
ZNF576,GCK
HOPX,GCK
JUN,GDPGP1
SNAI3,GDPGP1
JUNB,GDPGP1
ID2,GDPGP1
LYAR,GDPGP1
MAFG,GDPGP1
ASCL2,GDPGP1
DNAJC1,GDPGP1
HIVEP3,GDPGP1
MTA1,GDPGP1
KLF6,GDPGP1
FOS,GDPGP1
GABPA,GDPGP1
ZNF683,GDPGP1
HOPX,GDPGP1
BATF,GGA1
JUN,GGA1
JUNB,GGA1
ID2,GGA1
MLXIP,GGA1
ZNF155,GGA1
LEF1,GGA1
ZNF264,GGA1
LYAR,GGA1
FOS,GGA1
ASCL2,GGA1
DNAJC1,GGA1
ATF6,GGA1
ZNF683,GGA1
HOPX,GGA1
BATF,GHRLOS
RUNX3,GHRLOS
JUN,GHRLOS
JUNB,GHRLOS
BBX,GHRLOS
ID2,GHRLOS
ARID5B,GHRLOS
LYAR,GHRLOS
ZNF277,GHRLOS
FOS,GHRLOS
DNAJC1,GHRLOS
KLF6,GHRLOS
ZNF562,GHRLOS
ZNF683,GHRLOS
HOPX,GHRLOS
JUN,GIGYF2
JUNB,GIGYF2
BBX,GIGYF2
ID2,GIGYF2
ID3,GIGYF2
CEBPD,GIGYF2
LYAR,GIGYF2
ZNF277,GIGYF2
FOS,GIGYF2
MTA1,GIGYF2
FOXN2,GIGYF2
HIVEP3,GIGYF2
ATF6,GIGYF2
ZNF547,GIGYF2
KLF6,GIGYF2
BATF,GLG1
RUNX3,GLG1
JUNB,GLG1
POU5F2,GLG1
ID2,GLG1
ARID2,GLG1
ZNF264,GLG1
ZNF277,GLG1
LYAR,GLG1
FOS,GLG1
KLF6,GLG1
YEATS4,GLG1
ZNF683,GLG1
ZNF684,GLG1
HOPX,GLG1
BAZ2A,GLIPR1
JUN,GLIPR1
JUNB,GLIPR1
ID2,GLIPR1
ARID5B,GLIPR1
LEF1,GLIPR1
CENPA,GLIPR1
LYAR,GLIPR1
ASCL2,GLIPR1
DNAJC1,GLIPR1
KLF6,GLIPR1
PLEK,GLIPR1
ZNF683,GLIPR1
ZBTB34,GLIPR1
HOPX,GLIPR1
BATF,GMPR
JUN,GMPR
JUNB,GMPR
ZSCAN2,GMPR
ID3,GMPR
CEBPD,GMPR
LEF1,GMPR
ZNF264,GMPR
ZNF277,GMPR
THAP6,GMPR
LYAR,GMPR
MTA1,GMPR
ZNF547,GMPR
PLEK,GMPR
